Golflengte,Nofilter,Cu,Al
24.6,1.6,0.8,0.2
25.6,2,0.7,0.8
26.6,2.3,0.9,1.2
27.6,2.3,0.7,0.6
28.5,2.3,0.6,0.6
29.5,1.9,0.2,0.8
30.5,2,0.8,0.9
31.5,2.3,0.4,0.9
32.5,2.7,0.3,1.1
33.4,2.2,0.4,0.6
34.4,1.7,0.7,0.6
35.4,2.2,1.1,1
36.4,2.7,0.5,1.1
37.4,3.7,0.4,0.5
38.4,1.4,0.7,1.1
39.3,3.1,1.2,1.4
40.3,4.6,0.7,1.5
41.3,4.6,1.2,2.3
42.3,5.4,1.5,3.7
43.3,9.6,2.8,5.1
44.3,11.3,5.1,8.4
45.2,16.1,8.1,12
46.2,21.3,9.5,18.4
47.2,28.7,15.9,21.9
48.2,42.9,19.7,32.7
49.2,68.9,30.7,50.8
50.1,122.9,63.4,83.9
51.1,191.8,92.3,125.1
52.1,248.1,108.3,152.7
53.1,292.8,128.1,178
54.1,354.5,150,197.2
55,379.6,154.8,217.2
56,408,159.2,212.2
57,438.9,167,220.7
58,462.3,166.3,212.5
59,458.3,159.3,220.2
59.9,472.4,155.7,216.1
60.9,488.9,145.2,205.9
61.9,483.6,129.6,189.7
62.9,470.3,129.2,178.6
63.8,475.6,116.4,177.1
64.8,474.8,103.8,159.7
65.8,465.4,95.7,152.8
66.8,459.6,87.5,144.2
67.8,448,80.5,143.9
68.7,446.7,81.2,127.3
69.7,514.5,78.2,135.9
70.7,717.3,110.1,176.8
71.7,805.9,115.9,197.7
72.6,660.2,89.7,151.6
73.6,441.4,51,94.2
74.6,384.2,46,74.9
75.6,372.2,36.1,66
76.5,397.2,35.5,59.8
77.5,563.1,44.6,80.1
78.5,1298.6,97.8,178.4
79.5,1649.8,128.4,253.3
80.4,1347.1,109.2,207.6
81.4,462.4,29.1,58.7
82.4,303.3,14.8,31.6
83.4,278.3,14.3,23.6
84.3,250.3,12.7,22.4
85.3,242.4,10.4,20.1
86.3,234.6,8.6,15.3
87.3,228.6,8.6,15.4
88.2,215.9,7,15.7
89.2,201.9,8.1,15.7
90.2,192.1,10.9,17
91.1,195.3,13.1,20
92.1,175.2,16.4,21.8
93.1,173.4,18.4,25.3
94.1,173.6,19.6,26.4
95,172.3,21.4,24.9
96,161.1,23,28
97,148,23.6,32.4
97.9,156.5,23.8,29.1
98.9,151.3,23.1,36.1
99.9,144.7,23.5,36.1
100.8,131.3,28.3,35.2
101.8,133,26.3,33
102.8,128.3,27.8,37
103.7,123.9,28.2,37.6
104.7,122.5,26.5,37.2
105.7,122.6,30.3,33.9
106.6,116.3,23.7,34.6
107.6,122,26.4,39.2
108.6,112.4,22.9,37.1
109.5,114.5,24.7,35.8
110.5,102.3,24.4,38.8
111.5,113.1,24.9,37.1
112.4,114.9,25.8,38.6
113.4,103.8,20.6,34.7
114.4,101.2,22.2,37.5
115.3,98.8,22,34.3
116.3,105.8,23,33.6
117.3,99.7,20.3,34.5
118.2,95.7,20.4,35.3
119.2,95,17.4,29.9
120.1,91.4,17.1,26.8
121.1,92.1,18.4,27.8
122.1,88.8,15,25.5
