Frequentie (Hz),Spanning (V),Fase (degrees)
97.991,0.503,-81.449
97.994,0.503,-81.405
97.996,0.503,-81.407
97.997,0.503,-81.436
97.998,0.503,-81.434
97.999,0.503,-81.383
97.999,0.503,-81.378
98.001,0.503,-81.39
98.006,0.503,-81.389
98.007,0.503,-81.36
98.008,0.503,-81.391
107.991,0.503,-80.328
107.992,0.503,-80.319
107.995,0.503,-80.304
107.995,0.503,-80.293
107.996,0.503,-80.285
107.999,0.503,-80.274
108,0.503,-80.251
108.001,0.503,-80.245
108.001,0.503,-80.269
108.003,0.503,-80.255
108.004,0.503,-80.238
108.006,0.503,-80.225
108.054,0.503,-78.794
117.997,0.502,-79.02
117.999,0.502,-78.979
117.999,0.502,-79.006
117.999,0.502,-78.964
118,0.502,-78.999
118,0.502,-78.976
118,0.502,-78.967
118,0.502,-78.971
118.001,0.502,-78.944
118.001,0.502,-78.985
118.001,0.502,-78.967
118.002,0.502,-78.953
118.004,0.502,-78.957
118.014,0.502,-78.913
127.973,0.502,-77.623
127.993,0.502,-77.56
127.998,0.502,-77.5
127.998,0.502,-77.492
127.999,0.502,-77.471
127.999,0.502,-77.542
128,0.502,-77.529
128.003,0.502,-77.464
128.004,0.502,-77.455
128.006,0.502,-77.487
137.991,0.501,-75.811
137.998,0.501,-75.766
137.998,0.501,-75.832
137.998,0.501,-75.77
137.999,0.501,-75.753
137.999,0.501,-75.83
138,0.501,-75.775
138.002,0.501,-75.817
138.003,0.501,-75.823
147.951,0.501,-74.016
147.998,0.501,-73.754
147.999,0.501,-73.852
147.999,0.501,-73.833
148,0.501,-73.838
148.001,0.501,-73.824
148.001,0.501,-73.74
148.002,0.501,-73.819
148.003,0.501,-73.725
148.004,0.501,-73.73
157.999,0.5,-71.477
157.999,0.5,-71.481
158,0.5,-71.464
158.001,0.5,-71.346
158.001,0.5,-71.464
158.001,0.5,-71.346
158.002,0.5,-71.439
158.002,0.5,-71.446
158.003,0.5,-71.464
158.003,0.5,-71.323
158.003,0.5,-71.342
158.004,0.5,-71.331
167.994,0.498,-68.654
167.996,0.498,-68.632
167.998,0.498,-68.65
167.999,0.498,-68.461
167.999,0.498,-68.484
168,0.498,-68.443
168.001,0.498,-68.471
168.001,0.498,-68.472
168.002,0.498,-68.618
168.006,0.498,-68.452
168.006,0.498,-68.43
168.006,0.498,-68.585
177.999,0.497,-65.163
178,0.497,-64.93
