Frequentie (Hz),Spanning (V),Fase (degrees)
99.981,0.024,0
99.985,0.024,0
99.999,0.024,0
100.002,0.024,0
100.012,0.024,0
100.021,0.024,0
109.99,0.028,0
109.992,0.028,0
109.992,0.028,0
109.994,0.028,0
109.994,0.028,0
109.996,0.028,0
109.997,0.028,0
109.997,0.028,0
109.997,0.028,0
109.997,0.028,0
109.997,0.028,0
109.999,0.028,0
109.999,0.028,0
110,0.028,0
110.001,0.028,0
110.001,0.028,0
110.01,0.028,0
110.018,0.028,0
119.992,0.032,0
119.995,0.032,0
119.997,0.032,0
119.999,0.032,0
119.999,0.032,0
120.002,0.032,0
120.007,0.032,0
129.992,0.036,0
129.993,0.036,0
129.994,0.036,0
129.997,0.036,0
130,0.036,0
130.001,0.036,0
130.001,0.036,0
139.996,0.041,0
139.998,0.041,0
139.999,0.041,0
140,0.041,0
140.003,0.041,0
140.011,0.041,0
140.106,0.041,0
149.998,0.046,0
149.999,0.046,0
150.001,0.046,0
150.001,0.046,0
150.003,0.046,0
159.998,0.053,0
159.999,0.053,0
160.001,0.053,0
160.003,0.053,0
160.007,0.053,0
169.992,0.061,0
169.993,0.061,0
169.994,0.061,0
170.002,0.061,0
170.008,0.061,0
180.005,0.071,0
180.009,0.071,0
180.009,0.071,0
180.011,0.071,0
180.016,0.071,0
180.895,0.072,0
190.008,0.084,0
190.01,0.084,0
190.01,0.084,0
190.012,0.084,0
190.013,0.084,0
199.994,0.1,0
199.995,0.1,0
199.997,0.1,0
200.001,0.1,0
210.003,0.121,0
210.006,0.121,0
210.007,0.121,0
210.012,0.121,0
210.013,0.121,0
219.954,0.149,0
219.964,0.149,0
219.968,0.149,0
219.969,0.149,0
219.98,0.149,0
219.982,0.149,0
229.974,0.18,0
229.979,0.18,0
229.979,0.18,0
229.986,0.18,0
229.987,0.18,0
239.827,0.201,0
239.993,0.202,0
239.996,0.202,0
239.997,0.202,0
242.533,0.203,0
250.031,0.204,0
250.038,0.204,0
250.04,0.204,0
250.041,0.204,0
250.042,0.204,0
250.048,0.204,0
250.048,0.204,0
260.036,0.19,0
260.046,0.19,0
260.05,0.19,0
