Frequentie (Hz),Spanning (V),Fase (degrees)
99.975,0.012,0
99.975,0.012,0
99.979,0.012,0
99.992,0.012,0
99.993,0.012,0
99.994,0.012,0
100.003,0.012,0
100.009,0.012,0
100.012,0.012,0
100.014,0.012,0
100.021,0.012,0
100.023,0.012,0
107.463,0.013,0
109.987,0.014,0
109.992,0.014,0
109.993,0.014,0
109.995,0.014,0
110.012,0.014,0
110.012,0.014,0
110.02,0.014,0
116.312,0.015,0
119.98,0.016,0
119.987,0.016,0
119.991,0.016,0
119.992,0.016,0
119.992,0.016,0
120.016,0.016,0
129.995,0.018,0
129.999,0.018,0
130.005,0.018,0
130.005,0.018,0
130.008,0.018,0
130.009,0.018,0
130.013,0.018,0
139.99,0.021,0
139.992,0.021,0
139.997,0.021,0
139.998,0.021,0
139.998,0.021,0
139.999,0.021,0
139.999,0.021,0
140.001,0.021,0
140.002,0.021,0
140.002,0.021,0
140.008,0.02,0
140.01,0.021,0
140.015,0.021,0
149.994,0.023,0
149.996,0.023,0
149.996,0.023,0
149.996,0.023,0
149.998,0.023,0
149.999,0.023,0
150.001,0.023,0
150.001,0.023,0
150.003,0.023,0
159.992,0.027,0
159.996,0.027,0
160.004,0.027,0
160.006,0.027,0
160.01,0.027,0
169.949,0.031,0
169.981,0.031,0
169.984,0.031,0
169.988,0.031,0
169.988,0.031,0
169.989,0.031,0
169.991,0.031,0
169.994,0.031,0
179.984,0.036,0
179.994,0.036,0
179.995,0.036,0
179.999,0.036,0
180.014,0.036,0
180.021,0.036,0
189.992,0.043,0
189.998,0.043,0
190.011,0.043,0
190.011,0.043,0
190.013,0.043,0
190.016,0.043,0
199.993,0.052,0
200.003,0.052,0
200.005,0.052,0
200.005,0.052,0
200.011,0.052,0
200.013,0.052,0
200.013,0.052,0
209.995,0.065,0
210.011,0.065,0
210.015,0.065,0
210.02,0.065,0
210.028,0.065,0
210.029,0.065,0
210.034,0.065,0
219.932,0.083,0
219.934,0.083,0
219.948,0.083,0
219.949,0.083,0
219.957,0.083,0
219.972,0.083,0
220.272,0.083,0
228.708,0.099,0
229.955,0.107,0
229.957,0.107,0
229.959,0.107,0
229.963,0.107,0
229.965,0.107,0
229.965,0.107,0
229.968,0.107,0
229.973,0.107,0
229.973,0.107,0
229.973,0.107,0
229.975,0.107,0
239.997,0.125,0
239.999,0.125,0
240,0.125,0
240,0.125,0
240.002,0.125,0
240.006,0.125,0
250.023,0.124,0
250.066,0.124,0
250.069,0.124,0
250.073,0.124,0
250.076,0.124,0
250.078,0.124,0
250.078,0.124,0
253.574,0.122,0
260.071,0.111,0
260.093,0.111,0
260.095,0.111,0
260.098,0.11,0
260.12,0.111,0
270.028,0.096,0
270.029,0.096,0
270.038,0.095,0
270.047,0.096,0
270.052,0.096,0
270.053,0.096,0
271.818,0.094,0
279.999,0.083,0
280.009,0.083,0
280.023,0.083,0
280.029,0.083,0
280.03,0.083,0
280.038,0.083,0
289.958,0.072,0
289.959,0.072,0
289.963,0.072,0
289.967,0.072,0
289.987,0.072,0
299.578,0.063,0
299.935,0.064,0
299.937,0.064,0
299.939,0.064,0
299.943,0.063,0
309.985,0.057,0
309.986,0.057,0
309.988,0.057,0
309.988,0.057,0
309.989,0.057,0
312.365,0.055,0
319.979,0.051,0
319.98,0.051,0
319.98,0.051,0
319.985,0.051,0
319.99,0.051,0
329.994,0.046,0
329.997,0.046,0
330.003,0.046,0
330.008,0.046,0
339.993,0.043,0
339.994,0.043,0
339.994,0.043,0
339.996,0.043,0
339.999,0.043,0
340,0.043,0
340.001,0.043,0
340.002,0.043,0
340.003,0.043,0
340.003,0.043,0
340.888,0.042,0
349.994,0.039,0
349.997,0.039,0
349.998,0.039,0
349.998,0.039,0
350,0.039,0
350.001,0.039,0
359.968,0.037,0
359.991,0.037,0
360,0.037,0
360.001,0.037,0
360.002,0.037,0
360.008,0.037,0
360.008,0.037,0
369.994,0.034,0
369.999,0.034,0
370.001,0.034,0
370.002,0.034,0
370.004,0.034,0
370.011,0.034,0
379.999,0.032,0
380,0.032,0
380.002,0.032,0
380.004,0.032,0
380.008,0.032,0
389.998,0.03,0
390.005,0.03,0
390.005,0.03,0
390.007,0.03,0
399.989,0.029,0
399.998,0.029,0
400.002,0.029,0
400.004,0.029,0
400.013,0.029,0
409.991,0.027,0
409.995,0.027,0
409.996,0.027,0
409.999,0.027,0
410.002,0.027,0
410.005,0.027,0
419.993,0.026,0
419.999,0.026,0
420,0.026,0
420.001,0.026,0
420.014,0.026,0
429.977,0.025,0
429.989,0.025,0
429.996,0.025,0
429.997,0.025,0
430.005,0.025,0
439.996,0.024,0
439.997,0.024,0
439.999,0.024,0
440.001,0.024,0
440.018,0.024,0
449.993,0.023,0
449.998,0.023,0
450,0.023,0
450.008,0.023,0
450.01,0.023,0
450.014,0.023,0
459.98,0.022,0
459.993,0.022,0
460.004,0.022,0
460.016,0.022,0
460.017,0.022,0
462.895,0.022,0
470.001,0.021,0
470.006,0.021,0
470.007,0.021,0
470.008,0.021,0
470.013,0.021,0
479.99,0.02,0
479.993,0.02,0
479.997,0.02,0
480.005,0.02,0
480.008,0.02,0
480.012,0.02,0
489.996,0.02,0
489.998,0.02,0
490.005,0.02,0
490.01,0.02,0
499.523,0.019,0
499.978,0.019,0
499.992,0.019,0
500.004,0.019,0
500.006,0.019,0
