Frequentie (Hz),Spanning (V),Fase (degrees)
99.994,0.056,0.000
99.996,0.056,0.000
99.996,0.056,0.000
99.998,0.056,0.000
99.998,0.056,0.000
99.998,0.056,0.000
100.001,0.056,0.000
100.001,0.056,0.000
100.003,0.056,0.000
100.004,0.056,0.000
100.005,0.056,0.000
100.010,0.056,0.000
100.010,0.056,0.000
100.011,0.056,0.000
100.014,0.056,0.000
101.659,0.058,0.000
109.998,0.064,0.000
110.000,0.064,0.000
110.001,0.064,0.000
110.003,0.064,0.000
110.004,0.064,0.000
119.997,0.072,0.000
119.999,0.072,0.000
120.000,0.072,0.000
120.000,0.072,0.000
120.002,0.072,0.000
129.998,0.082,0.000
129.998,0.082,0.000
129.999,0.082,0.000
130.002,0.082,0.000
130.004,0.082,0.000
139.995,0.092,0.000
139.996,0.092,0.000
140.000,0.092,0.000
140.000,0.092,0.000
149.998,0.104,0.000
149.998,0.104,0.000
149.999,0.104,0.000
150.001,0.104,0.000
150.001,0.104,0.000
150.002,0.104,0.000
150.005,0.104,0.000
159.995,0.117,0.000
159.997,0.117,0.000
160.000,0.117,0.000
160.001,0.117,0.000
162.847,0.120,0.000
169.997,0.132,0.000
170.001,0.132,0.000
170.004,0.132,0.000
170.007,0.132,0.000
175.725,0.140,0.000
179.998,0.150,0.000
179.998,0.150,0.000
180.001,0.150,0.000
180.004,0.150,0.000
189.998,0.171,0.000
190.001,0.171,0.000
190.002,0.171,0.000
190.002,0.171,0.000
190.003,0.171,0.000
190.003,0.171,0.000
199.422,0.192,0.000
199.996,0.195,0.000
199.999,0.195,0.000
200.000,0.195,0.000
200.001,0.195,0.000
200.001,0.195,0.000
209.995,0.222,0.000
210.000,0.222,0.000
210.000,0.222,0.000
210.001,0.222,0.000
210.001,0.222,0.000
210.005,0.222,0.000
210.005,0.222,0.000
210.005,0.222,0.000
219.989,0.252,0.000
219.994,0.252,0.000
219.995,0.252,0.000
219.996,0.252,0.000
219.999,0.252,0.000
229.708,0.280,0.000
229.992,0.282,0.000
229.992,0.282,0.000
229.993,0.282,0.000
229.994,0.282,0.000
233.170,0.288,0.000
239.988,0.307,0.000
239.992,0.307,0.000
239.993,0.307,0.000
239.994,0.307,0.000
240.815,0.308,0.000
250.000,0.322,0.000
250.000,0.322,0.000
250.000,0.322,0.000
250.002,0.322,0.000
250.003,0.322,0.000
260.007,0.324,0.000
260.009,0.324,0.000
260.010,0.324,0.000
260.011,0.324,0.000
260.011,0.324,0.000
260.017,0.324,0.000
260.017,0.324,0.000
260.018,0.324,0.000
270.006,0.314,0.000
270.006,0.314,0.000
270.008,0.314,0.000
270.009,0.314,0.000
270.010,0.314,0.000
270.011,0.314,0.000
270.011,0.314,0.000
280.004,0.297,0.000
280.007,0.297,0.000
280.009,0.297,0.000
280.009,0.297,0.000
280.009,0.297,0.000
280.015,0.297,0.000
287.390,0.285,0.000
290.003,0.278,0.000
290.004,0.278,0.000
290.012,0.278,0.000
290.014,0.278,0.000
299.994,0.258,0.000
299.995,0.258,0.000
299.995,0.258,0.000
299.997,0.259,0.000
310.002,0.240,0.000
310.002,0.239,0.000
310.004,0.240,0.000
310.004,0.240,0.000
319.996,0.223,0.000
319.996,0.223,0.000
320.000,0.223,0.000
320.000,0.222,0.000
329.992,0.207,0.000
329.995,0.207,0.000
329.995,0.207,0.000
329.997,0.207,0.000
329.998,0.207,0.000
339.998,0.194,0.000
339.999,0.194,0.000
339.999,0.193,0.000
340.000,0.193,0.000
340.003,0.193,0.000
349.998,0.181,0.000
349.998,0.181,0.000
349.999,0.181,0.000
349.999,0.181,0.000
350.000,0.181,0.000
359.996,0.170,0.000
359.998,0.170,0.000
359.998,0.170,0.000
360.003,0.170,0.000
369.996,0.161,0.000
369.997,0.161,0.000
369.998,0.161,0.000
369.999,0.161,0.000
379.997,0.152,0.000
379.998,0.152,0.000
379.998,0.152,0.000
380.000,0.152,0.000
